full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
connormcgarr/Exploit-Development,Advanced Windows Exploitation/Offensive Security Exploitation Expert Preparation for Black Hat 2022,https://github.com/connormcgarr/Exploit-Development,['exploit'],1,2022-03-10T18:09:41+0000,305,190,Python,91,[]
sh4rknado/MetasploitScanner,python Automatisation metasploit scanner (msfrpc),https://github.com/sh4rknado/MetasploitScanner,['metasploit module OR payload'],1,2022-03-10T20:55:19+0000,86,0,Python,1,[]
jm33-m0/emp3r0r,Linux/Windows post-exploitation framework made by linux user,https://github.com/jm33-m0/emp3r0r,['exploit'],1,2022-03-10T04:06:46+0000,38036,680,Go,151,[]
mzet-/z-field-manual,Computer Network Exploitation (CNE) Field Manual,https://github.com/mzet-/z-field-manual,['exploit'],1,2022-03-10T15:14:06+0000,277,7,Python,3,[]
hugsy/pwn--,pwn++ - a (bad) C++17 pwn library for Windows & Linux,https://github.com/hugsy/pwn--,['exploit'],1,2022-03-10T07:32:40+0000,1053,62,C++,4,[]
TheWizWikii/TheWizWikii.github.io,"Exploits PS3, PS4 & PS5",https://github.com/TheWizWikii/TheWizWikii.github.io,['exploit'],1,2022-03-10T09:38:32+0000,318510,51,JavaScript,16,[]
ails-lab/with,WITHCulture is a service that provides access to digital cultural heritage items from different repositories and offers a number of added-value services for the creative reuse and intelligent exploitation of that content.,https://github.com/ails-lab/with,['exploit'],1,2022-03-10T11:26:14+0000,107291,1,Java,2,[]
th3ken-dev/TH3KEN-EDITION,None,https://github.com/th3ken-dev/TH3KEN-EDITION,['exploit'],1,2022-03-10T10:53:49+0000,4400724,3,Lua,0,[]
Devolutions/rcedit-rs,Rust fork of rcedit (https://github.com/electron/rcedit),https://github.com/Devolutions/rcedit-rs,['rce'],1,2022-03-10T15:13:24+0000,29,1,C++,1,[]
2lstudios-mc/FlameCord,Patch for Waterfall to improve performance during attacks and fix memory issues.,https://github.com/2lstudios-mc/FlameCord,['exploit'],1,2022-03-10T13:33:38+0000,1371,119,Shell,53,[]
m8r0wn/EAPrimer,C# project that Reflectively loads .Net assemblies in memory.,https://github.com/m8r0wn/EAPrimer,['exploit'],1,2022-03-10T02:07:46+0000,41,6,C#,3,[]
FabioDefilippo/winallenum,"This powershell script has got to run in remote hacked windows host, even for pivoting",https://github.com/FabioDefilippo/winallenum,['exploit'],1,2022-03-10T22:21:09+0000,4573,13,PowerShell,3,[]
FabioDefilippo/linuxallremote,This bash scripts will help you to hack remote hosts. You can choose and run one of them.,https://github.com/FabioDefilippo/linuxallremote,['exploit'],1,2022-03-10T22:22:48+0000,14853,33,Shell,8,[]
FabioDefilippo/linuxallenum,this bash script is for remote linux and macos hosts hacked!,https://github.com/FabioDefilippo/linuxallenum,['exploit'],1,2022-03-10T22:51:51+0000,1229,19,Shell,1,[]
cdk-team/CDK,"CDK is an open-sourced container penetration toolkit, offering stable exploitation in different slimmed containers without any OS dependency. It comes with penetration tools and many powerful PoCs/EXPs helps you to escape container and takeover K8s cluster",https://github.com/cdk-team/CDK,['exploit'],1,2022-03-10T05:16:14+0000,9836,2090,Go,342,[]
Franco7Scala/exploiting_gradient,None,https://github.com/Franco7Scala/exploiting_gradient,['exploit'],1,2022-03-10T11:16:03+0000,247,0,Python,0,[]
brerodrigues/exploit_drafts,Drafts of exploits made for studying and consultation purposes,https://github.com/brerodrigues/exploit_drafts,['exploit'],1,2022-03-10T20:32:17+0000,1065,1,Python,0,[]
ExploiTR/ExploiTR,hey it's me!,https://github.com/ExploiTR/ExploiTR,['exploit'],1,2022-03-10T09:28:55+0000,405,0,,0,[]
nomi-sec/NVD-Exploit-List-Ja,🔍NVD exploit & JVN(Japan Vulnerability Notes) easy description,https://github.com/nomi-sec/NVD-Exploit-List-Ja,['exploit'],1,2022-03-10T00:46:56+0000,47844,29,,19,[]
stefanpejcic/wordpress-malware,Collection of malware files found on WordPress sites,https://github.com/stefanpejcic/wordpress-malware,['exploit'],1,2022-03-10T11:38:56+0000,20724,2,PHP,0,[]
nathants/aws-rce,None,https://github.com/nathants/aws-rce,['rce'],1,2022-03-10T00:12:20+0000,195,0,Go,0,[]
chaitin/xray,一款完善的安全评估工具，支持常见 web 安全问题扫描和自定义 poc _ 使用之前务必先阅读文档,https://github.com/chaitin/xray,['vulnerability poc'],1,2022-03-10T04:16:30+0000,35758,6538,Vue,1397,[]
Gallopsled/pwntools,CTF framework and exploit development library,https://github.com/Gallopsled/pwntools,"['exploit', 'shellcode']",2,2022-03-10T17:03:35+0000,27282,8801,Python,1493,[]
leebaird/discover,"Custom bash scripts used to automate various penetration testing tasks including recon, scanning, parsing, and creating malicious payloads and listeners with Metasploit.",https://github.com/leebaird/discover,['metasploit module OR payload'],1,2022-03-10T02:36:33+0000,4236,2625,PowerShell,743,[]
offensive-security/exploitdb,The official Exploit Database repository,https://github.com/offensive-security/exploitdb,['exploit'],1,2022-03-10T05:09:40+0000,269004,6936,C,1886,[]
rapid7/metasploit-payloads,Unified repository for different Metasploit Framework payloads,https://github.com/rapid7/metasploit-payloads,['metasploit module OR payload'],1,2022-03-10T12:47:19+0000,60695,1199,C,568,[]
offensive-security/exploitdb-bin-sploits,Exploit Database binary exploits located in the /sploits directory,https://github.com/offensive-security/exploitdb-bin-sploits,"['exploit', 'sploit']",2,2022-03-10T00:08:13+0000,1534794,1582,Python,532,[]
commixproject/commix,Automated All-in-One OS Command Injection Exploitation Tool.,https://github.com/commixproject/commix,"['command injection', 'exploit']",2,2022-03-10T06:54:21+0000,5743,3139,Python,686,[]
rapid7/metasploitable3,Metasploitable3 is a VM that is built from the ground up with a large amount of security vulnerabilities.,https://github.com/rapid7/metasploitable3,['metasploit module OR payload'],1,2022-03-10T23:24:25+0000,254114,3483,HTML,927,[]
The-Art-of-Hacking/h4cker,"This repository is primarily maintained by Omar Santos and includes thousands of resources related to ethical hacking  / penetration testing, digital forensics and incident response (DFIR), vulnerability research, exploit development, reverse engineering, ",https://github.com/The-Art-of-Hacking/h4cker,['exploit'],1,2022-03-10T11:35:04+0000,70811,10857,Jupyter Notebook,1886,[]
hahwul/mad-metasploit,"Metasploit custom modules, plugins, resource script and.. awesome metasploit collection",https://github.com/hahwul/mad-metasploit,['metasploit module OR payload'],1,2022-03-10T00:17:58+0000,251197,291,Ruby,83,[]
helloexp/0day,各种CMS、各种平台、各种系统、各种软件漏洞的EXP、POC 该项目将不断更新,https://github.com/helloexp/0day,"['0day', 'exploit']",2,2022-03-10T09:08:31+0000,377001,489,C,339,[]
dcs4cop/xcube,"xcube is a Python package for generating and exploiting data cubes powered by xarray, dask, and zarr.",https://github.com/dcs4cop/xcube,['exploit'],1,2022-03-10T06:14:04+0000,293587,95,Python,15,[]
nettitude/PoshC2,A proxy aware C2 framework used to aid red teamers with post-exploitation and lateral movement.,https://github.com/nettitude/PoshC2,['exploit'],1,2022-03-10T07:01:20+0000,101587,1082,PowerShell,235,[]
GENIE-MC/Generator,The popular GENIE Generator product is used by nearly all accelerator neutrino experiments and it plays a key role in the exploitation of neutrino data. The Generator implements a modern software framework and it includes state-of-the-art physics modules. ,https://github.com/GENIE-MC/Generator,['exploit'],1,2022-03-10T17:42:29+0000,192279,27,C++,59,[]
killeven/DllToShellCode,Fast Conversion Windows Dynamic Link Library To ShellCode,https://github.com/killeven/DllToShellCode,['shellcode'],1,2022-03-10T09:43:54+0000,46,233,C,105,[]
tsumarios/Kali-Linux-Dockerfile,A simple Dockerfile to build an image starting from the latest official one of Kali Linux and including some useful tools.,https://github.com/tsumarios/Kali-Linux-Dockerfile,"['exploit', 'metasploit module OR payload']",2,2022-03-10T16:50:54+0000,21,13,Shell,9,[]
TheWover/donut,"Generates x86, x64, or AMD64+x86 position-independent shellcode that loads .NET Assemblies, PE files, and other Windows payloads from memory and runs them with parameters",https://github.com/TheWover/donut,['shellcode'],1,2022-03-10T15:18:04+0000,9770,1961,C,407,[]
drb-ra/C2IntelFeeds,Automatically created C2 Feeds,https://github.com/drb-ra/C2IntelFeeds,['metasploit module OR payload'],1,2022-03-10T02:30:18+0000,216331,134,REXX,12,[]
Patrowl/PatrowlHearsData,"Open-Source Vulnerability Intelligence Center - Unified source of vulnerability, exploit and threat Intelligence feeds",https://github.com/Patrowl/PatrowlHearsData,['exploit'],1,2022-03-10T00:03:28+0000,476489,47,,21,[]
ARPSyndicate/xlocate,the ultimate exploits/references finder,https://github.com/ARPSyndicate/xlocate,['exploit'],1,2022-03-10T11:00:03+0000,56449,16,Python,5,[]
Paul19988/BungeeExploitPatch,BungeeExploitPatch [BEP] protects Bungeecord based networked that don't have the ability to secure their ports or don't know or how/want to,https://github.com/Paul19988/BungeeExploitPatch,['exploit'],1,2022-03-10T00:36:22+0000,7,0,Java,0,[]
liamg/traitor,":arrow_up: :skull_and_crossbones: Automatic Linux privesc via exploitation of low-hanging fruit e.g. gtfobins, pwnkit, dirty pipe, +w docker.sock",https://github.com/liamg/traitor,['exploit'],1,2022-03-10T13:22:41+0000,2476,3793,Go,269,[]
Danniedan/HPMTTKRP,Exploiting Hierarchical Parallelism and Reusability in Tensor Kernel Processing on Heterogeneous HPC Systems,https://github.com/Danniedan/HPMTTKRP,['exploit'],1,2022-03-10T09:37:04+0000,28,0,Cuda,0,[]
rcelyte/BeatUpRcelyte,A lightweight modded Beat Saber multiplayer server for self-hosting,https://github.com/rcelyte/BeatUpRcelyte,['rce'],1,2022-03-10T00:26:42+0000,564,3,C,0,[]
cckuailong/reapoc,OpenSource Poc && Vulnerable-Target Storage Box.,https://github.com/cckuailong/reapoc,['vulnerability poc'],1,2022-03-10T01:38:27+0000,352079,344,PHP,127,[]
hack-different/apple-knowledge,A collection of reverse engineered Apple formats,https://github.com/hack-different/apple-knowledge,['exploit'],1,2022-03-10T07:33:18+0000,1804,190,Ruby,23,[]
kmeps4/leeful900,PS4 9.00FW Exploit Host By Leeful,https://github.com/kmeps4/leeful900,['exploit'],1,2022-03-10T19:43:08+0000,6513,12,HTML,11,[]
0RaMsY0/ramsy,Exploitation Tool,https://github.com/0RaMsY0/ramsy,['exploit'],1,2022-03-10T19:17:01+0000,167,1,Python,0,[]
massakre88/massakre88.github.io,9.00 exploit for ps4,https://github.com/massakre88/massakre88.github.io,['exploit'],1,2022-03-10T20:36:51+0000,4125,0,JavaScript,0,[]
TheConner/RustBot,A discord bot that safely executes whatever rust you throw at it. Remote code execution as a service,https://github.com/TheConner/RustBot,['remote code execution'],1,2022-03-10T06:23:36+0000,396,7,Rust,2,[]
volkandindar/agartha,"a burp extension for dynamic payload generation to detect injection flaws (RCE, LFI, SQLi), creates access matrix based user sessions to spot authentication/authorization issues, and converts Http requests to Javascript for further XSS exploitation and mor",https://github.com/volkandindar/agartha,"['exploit', 'rce']",2,2022-03-10T22:36:04+0000,1202,26,Python,3,[]
razor1997/CostsExploitationCarFrontApp,It's front end app using angular framework,https://github.com/razor1997/CostsExploitationCarFrontApp,['exploit'],1,2022-03-10T22:08:00+0000,830,0,TypeScript,0,[]
upal212/pkg-store,http://ps4h3x.xyz/store,https://github.com/upal212/pkg-store,['exploit'],1,2022-03-10T00:10:49+0000,2836,35,,2,[]
SIB-BYTE/Binary-exploitation,Binary exploitation.,https://github.com/SIB-BYTE/Binary-exploitation,['exploit'],1,2022-03-10T23:35:28+0000,533,3,Python,0,[]
zilibobi/zHub,Roblox exploiting GUI.,https://github.com/zilibobi/zHub,['exploit'],1,2022-03-10T17:50:08+0000,494,3,Lua,0,[]
cehteh/rcell,None,https://github.com/cehteh/rcell,['rce'],1,2022-03-10T18:32:54+0000,13,0,Rust,0,[]
skollr34p3r/Common_Vulns,Keeping some CVE exploits easily accessible,https://github.com/skollr34p3r/Common_Vulns,['exploit'],1,2022-03-10T15:42:50+0000,40,0,C,0,[]
sherlock-protocol/sherlock-v2-frontend,Frontend for Sherlock V2 - a protocol for decentralized exploit protection.,https://github.com/sherlock-protocol/sherlock-v2-frontend,['exploit'],1,2022-03-10T14:40:52+0000,6734,2,TypeScript,0,[]
